pid,label,contributor ,_date,author,location,description,object_type
tam011,"Black Solidarity Day Conference, October 28, 1969","Tamiment-Wagner Collections, Photos.223.001, Box 15a, Shoot 690188",10/28/1969,The Daily Worker and The Daily World,"New York, New York","Participants in the 1969 Black Solidarity Day Press conference, which took place at 108 West 135th Street, sit at a table in front of an audience. Left to right: Hoshea (Spiritual Black Arts), Louis Montalvo (director of Regional Manpower), Walter Dix (Representative of Veterans in Public Service), Livingston Wingate (New York Urban League), C. Herbert Oliver (Ocean Hill-Brownsville Governing Board), Eugene Callender (New York Urban Coalition), Carlos Russell (Spokesman for Black Solidarity Day Committee), Lennie Weir (Society of Afro-American Police), Al Vann (chairman, Afro-American Teachers Association), Representative of Afro-American Student Organization, Clifton Gross (chairman, New York State Black School Supervisors and Administrators Organization).",photograph
tam012,"Black Solidarity Day Conference, October 28, 1969","Tamiment-Wagner Collections, Photos.223.001, Box 15a, Shoot 690188",10/28/1969,The Daily Worker and The Daily World,"New York, New York","Left to right: Livingston Wingate (New York Urban League), C. Herbert Oliver (Ocean Hill-Brownsville Governing Board), Eugene Callender (New York Urban Coalition), Carlos Russell (Spokesman for Black Solidarity Day Committee) particpate in the press conference for the first Black Solidarity Day in 1969. The iconic poster, that was reprinted in numerous New York newspapers, advertising the days events forgrounds the image.",photograph
tam013,NYU Black Solidarity Day Event Flyer 1988,"University Archives Collections, RG 39.212 Box 2, Folder 20",1988,Black Student Services Center,"New York, New York",Flyer of a Black Solidarity Day event co-sponsored by Black Student Organizations at NYU,flyer
tam014,NYU Black Solidarity Day Event Flyer 1979,"University Archives Collections, RG 39.212 Box 1, Folder 12",1979,Black Student Services Center,"New York, New York","Flyer of a Black Solidarity Day event co-sponsored by the Black Student Services Center,  Black Business Student Association, Organization of Black Women, the Institute of Afro-American Affairs, and the National Association of Black Accountants",flyer
tam015,NYU Black Solidarity Day Event Flyer 1985,"University Archives Collections, RG 39.212 Box 1, Folder 49",1985,Black Student Services Center,"New York, New York",Flyer of a Black Solidarity Day event sponsored by the Black Student Services Center at NYU,flyer
tam016,NYU Black Solidarity Day Event Flyer 1989,"University Archives Collections, RG 39.212 Box 1, Folder 58",1989,Black Student Services Center,"New York, New York",Flyer of a Black Solidarity Day event sponsored by the Black Student Services Center at NYU,flyer
tam017,NYU Black Solidarity Day Event Flyer 1994,"University Archives Collections, RG 39.212 Box 2, Folder 7",1994,Black Student Services Center,"New York, New York",Flyer of a Black Solidarity Day event co-sponsored by the Black Student Services Center and Brothers for Brothers at NYU,flyer
tam018,Black leaders push unity at solidarity day forum,"University Archives Collections, RG 39.212, Box 2, Folder WSN 1991",1991,Kimberly Seals,"New York, New York",Article in the Washington Square News about a forum held at NYU in conjunction with Black Solidarity Day,newspaper
tam019,Black Solidarity Unity March and Rally flyer,New York Black Solidarity Day Committee,2020,New York Black Solidarity Day Committee,"Brooklyn, New York",Flyer for the Black Solidarity Day 2020 Unity March and Virtual Rally,flyer
tam020,Black Solidarity Day Flyer 2018,Jasmine Sykes-Kunk,2018,Black Solidarity Day Coalition,"Brooklyn, New York",Flyer for Black Solidarity Day 2018 that I picked up at the Clinton Hill Branch of the Brooklyn Public Library in October 2018,flyer
tam021,Email  - Countdown: 27 days to Black Solidarity Day,Jasmine Sykes-Kunk,"October 5, 2020",December 12th Movement,"Brooklyn, New York","Email received on October 5,2020 and printed on October 26, 2020 from the December 12th movement as a reminder about the upcoming 51st Black Solidarity Day ",email
tam022,Portrait of Carlos E. Russell,"Tamiment-Wagner Collections, Photos.223, Box 268, folder Russell, Carlos E.",1990,"Fernando Bramwell, The Daily Worker and The Daily World",unknown,"Dr. Carlos E. Russell was the founder of Black Solidarity Day. In this photograph, he is seated, staring at the camera, with his hands in his lap",photograph
tam023,Portrait of Douglas Turner Ward,"Tamiment-Wagner Collections, Photos.223, Box 317, folder Ward, Douglas Turner",no date,The Daily Worker and The Daily World,unknown,"Douglas Turner Ward was the author of the play ""A Day of Absence"" which inspired the creation of Black Solidarity Day",photograph
tam024,What Black Solidarity Day means to me,Charles Joyner,2020,Charles Joyner,"Brooklyn, NY",This is a Google slides about what Black Solidarity Day means to me. It was an assignment for an 8th grade advisory class at Arts & Letters United 305 School.,
